recipe_name,description,ingredients,methods
"
                Prime Ribeye with Green Peppercorn Sauce
            ","
                    If you’re looking for a filling and tasty dish, try this steak recipe and you’ll be serving something special on your table for sure. We used prime rib-eye steaks here for their tender, juicy goodness. Paired with a delicious, creamy pepper sauce, you cannot go wrong. Serves: 4.
                ","
                ,Butter and oil for frying,
4 thick Steakhouse Classic prime ribeye steaks, 250 g each,
60 ml brandy,
                ,50 ml butter,
2 ml English mustard,
20 ml green peppercorns, lightly crushed,
                ,200 ml beef stock,
25 ml fresh cream,
Salt and black pepper","Heat the butter and oil for frying in a large cast-iron pan over very hot coals and quickly sear the steaks to seal.,
,Fry until done to your liking.,
,Pour the brandy over the steaks in the pan and set alight. Transfer the steaks to warmed plates and keep warm.,
,Melt 50 ml butter in the same pan. Remove from the heat and stir in the English mustard, crushed green peppercorns and beef stock. Return to the heat and stir to deglaze the pan.,
,Remove from the heat and stir in the cream and season with salt and pepper.,
,Pour the sauce over the steaks.,
,Serve with boiled potatoes."
"
                Monkey Gland Sauce
            ","
                     Whether you serve it as a sauce on the side or use it as a marinade, almost any piece of meat becomes a lipsmacking one with a touch of Monkey Gland. Try this authentic sauce recipe the next time you make a steak, burger or any of your other favourite cuts of meat. Makes about 3 cups.
                ","
                ,1 onion, chopped,
2 tbsp. sunflower oil,
1 cup Rhodes tomato puree,
410 g can of Rhodes Chopped & Peeled Tomatoes,
,
,
                ,1 cup chutney,
3 tbsp. Worcester sauce,
2 tbsp. balsamic vinegar,
2 tbsp. brown sugar,
                ,2 garlic cloves, finely chopped,
1 tsp. Tabasco sauce,
Salt, to taste","Fry the onion and garlic in the oil until soft and fragrant.,Add the Rhodes Tomato Puree and the Rhodes Tomatoes and heat through.,Add the remaining ingredients and bring to the boil.,Reduce the heat and simmer for 30 minutes or until thick. Check the seasoning and adjust if necessary.,
 ,
,
• Use as a marinade for meat, or serve warm as a sauce for burgers, steaks or roast potatoes.,
,
,
Recipe supplied by ,
,
"
"
                Creamy Mushroom Steak
            ","
                    A worldwide classic, lunch doesn’t get much better than a good T-bone steak and proper homemade mushroom sauce. In this recipe, the steak is barbecued and basted rather than pan-fried, giving it an extra coating of flavour before being doused with the creamy sauce. Serves: 2
                ","
                ,2 Steakhouse Classic T-bone steaks; 3 cm thick,
Salt and freshly ground black pepper,
15 ml Worcester sauce,
60 ml BBQ sauce,
                ,30 ml garlic butter,
,
,
15 ml oil,
125 g mushrooms; sliced,
                ,2 garlic cloves; chopped,
125 ml sour cream,
Handful grated parmesan cheese","For the steak, season the steaks on both sides with salt, pepper and Worcester sauce.,
,Barbecue the steaks over hot coals while basting with BBQ sauce. Braai each side for 3–4 minutes or until cooked as preferred.,
,Spoon the garlic butter over the steaks. Set aside to rest for 10 minutes.,
,For the sauce, heat the oil and fry the mushrooms and garlic until done, about 3 minutes.,
,Add the sour cream and simmer until slightly thickened, for about 3 minutes. Add the Parmesan cheese and stir until melted.,
,Place the cheese on the steaks and spoon the sauce over. Serve with rolls."
"
                Creamy Coconut Spaghetti
            ","
                    Give your taste buds a pleasant surprise with this creamy and spicy spaghetti recipe, lush with coconut milk, ginger and garlic. Served with lip-smacking barbeque beef or chicken, this nutritious side dish will turn your normal meal into a Soul Food feast.
                ","
                ,½ a pack of spaghetti,
1 medium coconut,
1 large green pepper,
1 large carrot,
                ,½ cup green peas,
2 medium ata rodo,
2 medium tomatoes,
1 medium tatashe,
                ,1 medium onion,
½ tsp. grounded ginger/garlic mix,
2 tbsp. groundnut oil (optional),
Seasoning and salt; to taste","Grate coconut, add a little water and squeeze out the milk; set aside.,
,Chop the green pepper, carrot and onion.,
,Blend the fresh ata rodo, tomatoes and tatashe.,
,Pour coconut milk in a clean pot and boil for 20 minutes.,
,Add the blended mix and stir. Add the groundnut oil (optional) and boil for another 10 minutes.,
,Add spaghetti; keep stirring for 2 minutes to prevent it from gumming together.,
,Add the ginger/garlic mix, as well as seasoning and salt to taste.,
,Add a little more water to the content in the pot if you need to.,
,Cover the pot and cook 10 minutes until the spaghetti is al dente (tender but firm).,
,Add the chopped mix and simmer for 1 minute.,
,Serve hot with barbeque beef or chicken."
"
                Ofe Okazi
            ","
                    You’ll be ready for the cold nights with this mouth-watering, protein-rich soup containing assorted seafood, meat and spices that blend perfectly. Enjoy it with some yams, rice or pasta for a soulful feast.
                ","
                ,10 medium pieces of assorted meat,
1 medium stockfish,
3 medium dried or smoked fish,
3 medium pomo,
2 Cameroon peppers,
3 handfuls sliced okazi (afang leaves),
                ,1 handful chopped uziza or ugu leaves,
1 cup shelled periwinkle (optional),
1 tbsp. achi or ofo powder,
1 wrap ogiri isi,
1 tbsp. ground crayfish,
                ,2 cooking spoons palm oil,
Seasoning and salt; to taste","Pound the okazi leaves.,
,Rinse the meat, add spices and cook with the stockfish until tender.,
,Add pomo, dried/smoked fish and more water; cook for 10 minutes.,
,Add the peppers, palm oil, crayfish, and ogiri, seasoning and salt, to taste. Cook for 10 minutes.,
,Add the achi or ofo and keep stirring for 2 minutes. to get a consistency similar to Ofe Nsala (you can add a little water if it is too thick).,
,Add the okazi and uziza leaves. Cook for 2 minutes and it will be ready.,
,Serve with any swallow of your choice."
"
                Palm Oil Concussion Rice
            ","
                    Make your favourite staple food a soulful meal with our tantalising twist on Jollof rice. With added crayfish, our recipe gives this traditional favourite an exciting new aroma that you’re sure to fall in love with at the first bite. Serve with vegetables for a well-rounded, wholesome dinner.
                ","
                ,1 cup rice,
6 medium pieces of assorted meat,
2 medium smoked fish,
2 medium ata rodo,
                ,4 medium tomatoes,
1 medium tatashe,
1 cooking spoon dry crayfish,
                ,1 medium onion,
1 cooking spoon palm oil,
Seasoning and salt; to taste","Rinse the meat, season and cook until tender.,
,Debone the smoked fish.,
,Roughly blend the fresh peppers, tomatoes, tatashe and crayfish.,
,Pour the palm oil in a clean pot and heat; add half of the onion and stir.,
,Add the blended mix and fry for 5 minutes.,
,Add the meat stock (liquid from the cooked meat) and 1 cup of water. Boil for 2 minutes.,
,Add the rice; stir and cook for 15 minutes.,
,Add seasoning and salt, to taste.,
,Add the smoked fish and boiled meat. Stir and cook for 20 minutes until the rice is soft and puffy (add more water if you need to).,
,Add the remaining onion and simmer for 3 minutes.,
,Serve with steamed vegetables."
"
                Apple Sultana Porridge
            ","
                    Packed with vitamins, protein, minerals and fibre, this porridge recipe is an absolute winner as far as healthy breakfast ideas go. A combination of rolled oats and apple make for tasty, nutritious baby food that’s great for getting your little one started on solids.
                ","
                ,½ cup rolled oats,
¾ cup water,
¼ cup apple juice,
                ,1 naturally sweet apple; peeled, cored and diced,
Pinch of nutmeg,
                ,1 tbsp. sultanas,
½ cup milk","Pour the water and juice into a saucepan and bring to the boil.,
,Add the diced apple and sultanas, then sprinkle in the rolled oats, stirring well.,
,Return the mixture to the boil, then reduce the heat to a gentle simmer.,
,Add the nutmeg and cook until thick (10 - 15 minutes).,
,Stir in the milk before serving.,
,If this recipe is too lumpy for your baby, you can puree it directly in the pot using a hand blender.,
,Another alternative is to soak the sultanas to soften them, then puree them before adding them to the dish.,
"
"
                Breakfast Bakes
            ","
                    These delicious breakfast bakes have won over many fussy toddlers and are a great way to bring more vegetables into your little one’s diet. We’ve used spinach in this recipe, but you’re welcome to replace it with any other cooked vegetables – butternut and courgettes work really well too. Nutritious and tasty, it’s healthy toddler food at its best.
                ","
                ,2 tbsp. olive oil, plus extra for greasing,
Grated cheddar OR crumbled feta, to sprinkle,
½ onion, peeled and chopped,
                ,2 handfuls baby spinach,
2 free-range eggs,
2 tbsp. full-cream milk,
                ,Salt and milled pepper, to taste","Preheat the oven to 180 °C. Grease a pair of ramekins.,
,Quickly sauté the onion and spinach in the hot oil, then divide the mixture between the ramekins.,
,Whisk up your eggs until fluffy.,
,Add the cheesy mix and a little milk. Pour into the ramekins, stir the contents and season.,
,Bake for 10 minutes or until risen. Serve immediately.,
"
"
                Chicken, Apricot and Sweet Potato Puree
            ","
                    Try this homemade baby food recipe if you’re busy switching your infant over to solids or introducing meat proteins. With both chicken and vegetables in the mix, it’s a well-balanced, protein-packed meal filled with just the right kind of nutrients a baby needs at this time.
                ","
                ,2 chicken thighs (you can buy them already deboned/skinless to save time),
1 tbsp. canola oil,
½ cup sliced leek (softer taste than onion),
                ,2 cups peeled and chopped sweet potato (choose the orange fleshed sweet potato if possible),
1/3 cup dried apricots; halved,
2/3 cup tomato puree,
                ,1 cup chicken stock or water,
","Remove the meat from the chicken thighs and discard the skin, fat, and bones (you should use about 120 g of chicken thigh meat).,
,Cut into chunks.,
,Heat the oil in a pan and sauté the leek until softened, about 4 minutes.,
,Add the chicken and sauté until the chunks are white on all sides, about 2 minutes.,
,Add the sweet potato and sauté for 1 minute.,
,Stir in the dried apricots, tomato puree and chicken stock.,
,Bring to a boil, then cover and simmer for about 15 minutes. Blend to a puree.,
"
"
                French Toast for Toddlers
            ","
                    Warm, comforting and cost-effective, you can’t go wrong with a good French toast recipe - and young ones will tend to agree. Although this breakfast treat is traditionally served with honey or syrup, you can make the meal even more nutritious by serving it with seasonal fruit instead. Serving size for a toddler: 4 bread strips.
                ","
                ,5 slices of bread (cut each one lengthways into 4 equal strips),
2 eggs,
                ,½ cup milk,
½ tsp. cinnamon,
1 tbsp. butter,
                ,2 tsp. honey","In a shallow bowl, whisk the eggs, milk, cinnamon and honey until combined.,
,Dip each soldier in the mixture until evenly coated.,
,Heat a pan (medium heat) with a bit of butter (or non-stick cooking spray).,
,Cook for 3 minutes on each side until golden brown and cooked through.,
"
"
                Apple and Bread Pudding
            ","
                    Bread pudding recipes go as far back as the 11th century. The fact that it’s been around for so long and still remains a hit is the ultimate proof of just how affordable and yummy it is at the same time. Not only is it a comforting dessert, it’s also great for when you have more than a few guests over for dinner or are stuck on ideas for desserts after a lazy Sunday lunch. Serve it with custard or fresh cream as the final touch.
                ","
                ,2½ cups milk,
4 large eggs,
½ cup sugar, divided,
1 tbsp. vanilla essence,
,
,
                ,½ tsp. lemon zest,
⅛ tsp. ground nutmeg,
4 cups bread, cubed (about 6 slices of bread with crusts removed),
¼ cup raisins,
,
,
                ,3 tbsp. butter,
2 apples; peeled, halved and cored,
1 tbsp. lemon juice,
",
"
                Espresso Mousse Cake
            ","
                    A multi-layered mousse cake that combines chocolate, coffee and sponge cake. What’s not to love?
                ","
                ,
4 eggs,
125 g castor sugar,
125 g cake flour,
15 ml strong espresso coffee,
,
,
250 ml cream,
300 g dark chocolate,
4 eggs; separated,
30 ml coffee liqueur,
,
                ,
180 g dark chocolate,
60 g icing sugar,
120 g water,
45 g butter,
,
                ,
250 ml strong espresso coffee,
180 ml brown sugar","Place all the ingredients into a glass or plastic bowl and heat in the microwave on 70% for about 5–7 min.,
,Stir after each min. until smooth and melted. Allow to cool for a few min. before using.,
,To assemble, use the same spring-form tin as the sponge was baked in.,
,Place a layer of baked cake sponge into the tin.,
,Sprinkle with the coffee soaking syrup until well moistened.,
,Pour ⅓ of the mousse filling in to cover the sponge layer.,
,Repeat this step with the remaining sponge layers, coffee syrup and mousse filling, finishing with a sponge layer.,
,Place into the fridge for at least 4 hrs to chill and set.,
,Once set, remove from the spring-form tin. Place onto a serving plate and pour the melted glaze over, allowing it to run down the sides.,
,Decorate as desired.,
,Preheat your oven to 180 °C and spray a 20 cm spring-form cake tin with non-stick spray.,
,Place the eggs, coffee and sugar into a large bowl, using a hand mixer, whisk until light and fluffy enough to leave a trail. This will take about 10–15 min.,
,Very gently fold in the sifted flour until just combined.,
,Pour the mixture into the cake tin and bake for about 30 min. or until firm to the touch.,
,Remove and turn out to cool on a cooling rack.,
,Once cooled, slice horizontally into 4 even layers.,
,Whip the chilled cream and set aside.,
,Break the chocolate into pieces and place in a glass bowl.,
,Melt the chocolate carefully over a double boiler (place a glass or stainless steel bowl in a pot over hot, but not boiling water).,
,Once melted, remove from the heat and stir the egg yolks into the melted chocolate until combined. The mixture will thicken up quite a bit at this point, so don’t panic.,
,Add the liqueur and mix in well.,
,In a clean bowl, whisk the egg whites until stiff peak stage and fold a third at a time into the chocolate mixture.,
,Now fold the whipped cream into the mixture.,
,Pop the bowl into the fridge to firm up a bit if it feels too runny, before assembling.,
,If you don’t have the time or energy to bake the sponge, you can also use a ready-bought Madeira sponge cake from the Shoprite bakery.,
,The chocolate glaze is optional and just makes the cake look extra pretty, but the cake tastes just as good without it.,
,
Recipe by: Angie Boyd"
"
                Catfish Peppersoup
            ","
                    Catfish peppersoup is a popular Nigerian dish. The hearty dish, which is sometimes known as Point and Shoot is easy to prepare and you can get all of the ingredients at your nearest Shoprite store. 
                ","
                ,1/4 cup Peppersoup spice,
Lemon grass/scent leave (optional),
1 tbsp. ground crayfish,
5 limes,
                ,2 seasoning cubes,
1 tsp. salt,
                ,1 tsp. ground pepper,
Catfish","Wash your catfish with lime, lemon, salt or hot water. Once slime has been removed, place it in a pot.,
,Add pepper soup spice.,
,Add some chopped fresh pepper.,
,Add seasoning cubes and salt for taste. If you have chosen to add lemon grass to your dish, you may add it now.,
,Cover the pot and allow to cook-the pepper soup should be ready in 35-50 minutes.,
"
"
                Chapman Cocktail
            ","
                    Hot Summer days call for a refreshing cocktail or two, and Chapman Cocktail is the ultimate Summer drink. This deliciously fruity drink is suitable for any occasion and will have your party guests coming back for more. You can make the perfect cocktail party drink with this fruity Chapman Cocktail recipe.
                ","
                ,4 Cups Fanta,
4 Cups Sprite,
1/2 Grenadine Syrup,
                ,1 tbs Angostura Bitters,
1 medium cucumber, sliced,
4 Lime/Lemon, cut in quarters,
                ,Mint leaves,
1 tray of ice cubes (Prepare beforehand using sprite)","Prepare ice cubes before you make the Chapman cocktail by freezing Sprite in an ice cube tray.  ,
,In a jug add fanta, sprite, grenadine syrup and angostura bitters. Stir the mixture through.,
,Add the cucumber slices and lime quarters to the mixture,
,Garnish with mint leaves and serve chilled.,
"
"
                Oven Baked Moin-Moin
            ","
                    Moin-moin is a savory bean cake and is most popular in Nigeria. The dish can be served as a side or even as a dessert. This Moin-moin recipe is easy to follow and you can get all the ingredients at your local Shoprite store. 
                ","
                ,2 cups beans (peeled and washed),
6 parika chilli,
1 medium onion,
1 tsp. salt,
                ,2 seasoning cubes,
1 tbsp. vegetable oil,
1 tbsp. curry,
1 tbsp. paprika,
                ,1 tbsp. crayfish,
1/4 water,
1 big smoked mackerel shredded to bits","Soak beans for 3 hours or more,
,Preheat oven,
,Blend beans with onion, paprika chilli and water,
,Pour mixture in a bowl, add salt, seasoning cube, vegetable oil, curry, paprika, crayfish, water and whisk for 5 minutes.,
,Spray a baking pan with oil,
,Pour bean mixture to baking pan and add bits of smoked mackerel fish.,
,Cover the pan with an aluminium foil.,
,Place baking pan into pre-heated oven and add 2 cups of water to the baking tray in the oven to provide moisture. Bake for 1 hour."
"
                Ofada Rice and Sauce
            ","
                    Ofada Rice and sauce is a Nigerian favourite. The combination of meats and peppers adds complex flavours that keeps everyone wanting more. The best part about this ofada rice recipe is that is easy to prepare and will have you enjoying the meal in no time at all.
                ","
                ,
,
2 cups ofada rice,
4 cups water,
1 tsp. Salt,
1 tsp. vegetable oil,
                ,
,
1/4 cup palm oil,
1 tbsp. Iru (Locust Beans),
1 kg assorted meat (Shaki, Kpomo, Liver) - already cooked,
600 g cooked chicken,
1 cup chicken broth,
,
                ,
1 tsp. salt,
1 seasoning cube,
1 tbsp. crayfish,
1 medium onion,
Green tomatoes,
Green bell pepper,
Green habanero Pepper","Heat up water in a pot until it boils.,
,Rinse rice thoroughly with cold running water and add to pot of boiling water. Add salt and oil.,
,Cook for 35 minutes or until it’s ready.,
,Blend green tomatoes, peppers and onion. Place in a pot and boil for 15 minutes,
,Heat up a pot and add palm oil. Allow to bleach for 10 minutes - This means leaving it to heat up and smoke till it is almost similar to vegetable oil. After 10 minutes allow to cool a bit.,
,Add chopped onion, saute, then add the boiled tomato/pepper mixture.,
,Add salt, iru (locust beans), assorted meat and crayfish. Cover and allow to cook till oil floats to the top.,
,Add chicken stock, taste and add seasoning cube if necessary. Now you may add the cooked chicken.,
,Allow the ingredients to cook for 5 more minutes and simmer."
"
                Asun
            ","
                    This asun recipe is easy to follow and very delicious. Make it at home and serve with a side of rice or a salad of your choice. 
                ","
                ,1 kg goat meat,
2 bulb onions,
3 tbsp. vegetable oil,
                ,3 habanero peppers,
1 bell pepper,
                ,1 tsp salt,
1 Maggi","Make the marinade by mixing maggi, salt, onion and vegetable oil. ,
,Marinate the goat meat for about an hour or overnight. ,
,Place the goat meat into a pot and boil for about 45 minutes or until it’s almost soft. The cooking time will be reduced if you’re using a pressure cooker. ,
,Transfer the goat meat into an oven-proof dish and grill in the oven.,
,Roughly blend bell pepper, habenero peppers and onions.,
,In a wok, heat up a small amount of vegetable oil. Add onion, peppers and the grilled goat meat. If you do not have a wok you could alternatively use a pan.,
,Stir fry for about 3 minutes and take off the heat.,
,
"
"
                Nkwobi
            ","
                    Have you tried Nkwobi? The layered spices truly bring out the flavour of this spicy beef dish. Be sure to add a hearty portion to your plate. Here’s a hint: the sauce is the most important part of this truly delicious dish!
                ","
                ,1 kg Cow Leg,
1/4 Cup Palm Oil,
Handful Ugba,
Handful Utazi Vegetable,
                ,2 Tbsp. Crayfish,
1 Tsp. Potash,
4 Calabash Nutmeg (Erhe),
1 Tsp. Cameroon Pepper,
                ,1 Maggi Cubes,
1 Tsp. Salt,
1 Onion","The cow leg should be cut into bite sized pieces and washed. Set it to boil in a pot while adding some onion and Maggi. It is better to use a pressure cooker because cow leg can take up to 4 hours before it becomes soft.,
,Make sure to allow the stock to completely absorb into the cow leg as it softens.,
,Now we have to make the palm oil paste. Add enough palm oil in another pot, mix your potash with a bit of water then sieve.,
,Now pour the potash mixture into the palm oil while stirring. You will notice that the palm oil will become thicker and the colour will be bright orange/slightly yellowish.,
,Open up the Erhe, place on a pan or the cooker to heat up for about 3 minutes (until it becomes fragrant), then add to the palm oil. Add Maggi seasoningto taste, some Cameroon pepper, a bit of salt, crayfish to taste and mix together.,
,Now wash your ugba and add it to the paste. Mix everything together.,
,Add the palm oil paste to the cow leg. When it is totally combined, put it back on the cooker until it heats up. It should not be heated for more than 5 minutes or the oil will burn.,
,Serve your Nkwobi in a plate and garnish with the Utazi leaves and onion rings. It should look more or less like the image below. Use Utazi sparingly as some people find it too bitter. Sprinkle on the top of the Nkwobi, or combine it into the dish. It's entirely your choice."
"
                Puff Puff Balls
            ","
                    Are you craving a mouth-watering sweet treat? Our Puff Puff Balls are incredibly easy to make and will quickly become a favourite.
                ","
                ,3 Cups Plain Flour,
1 Cup Caster Sugar/Granulated Sugar (Or according to your taste),
                ,4 tsp. Instant Yeast,
Sprinkle of Nutmeg,
Vegetable Oil,
                ,Pinch of Salt,
2 Cups Warm Water,
","Sift the flour to get rid of any unwanted particles and to loosen it.,
,Mix all the dry ingredients together with a spatula.,
,Gradually add warm water and mix together with the dry ingredients mixture.,
,Place the mixture in a warm place i.e. your oven or microwave. Leave it to rise for about 45 minutes. It should double in size. If the mixture doesn’t rise, it means something is wrong with your yeast. Preferably use instant yeast so you don't need to soak it in water first, just add to flour.,
,Pour vegetable oil in a deep pan over medium heat.,
,Now scoop the mixture with your measuring spoon (1 tbsp. scoop) into the pan of oil (see video to see how this is done). Getting perfect round Puff Puffs is an art... we can cheat our way through it.,
,Fry in small batches. Flip it once it starts to brown, until it is a nice golden brown all over.,
,Transfer from the pan to another bowl to drain the oil!"
"
                Zobo Pap
            ","
                    There’s nothing quite like Zobo to make classic Nigerian pap something truly special. Whether it’s for a extra tasty breakfast or a no-fuss sweet treat, this easy recipe is a guaranteed winner.
                ","
                ,1 Cup Pap,
                ,1/4 Cup Zobo Syrup,
                ,1 Cup Hot Water","In a pot, pour in the powdered pap and the Zobo Syrup, combine together until it forms a deep pink paste.,
,While stirring, add boiling hot water to the pap mix and stir for a minute until it thickens.,
,Serve hot or cold.,
"
"
                Suya Wrap
            ","
                    Suya wraps are a great way of enjoying classic Nigerian flavours without breaking the bank or spending hours in front of the stove. Whether it’s for party snacks or a quick and easy meal, this recipe is a great go-to for maximum flavour at minimal effort.
                ","
                ,1 Shawarma Wrap,
Handful of Beef Suya,
Handful Lettuce, Sliced,
                ,Handful Cabbage, Sliced,
1 Carrot, Shredded,
                ,1/4 Onion, Sliced,
1 tsp. Mayonnaise","In a bowl, combine lettuce, cabbage, carrot, onion and mayonnaise.,
,Heat up the wrap in a pan for 30 seconds on each side and lay on a flat surface.,
,Add the vegetable mix on the wrap and the Beef Suya, not so much that the wrap cannot be folded.,
,Fold the wrap and secure with a toothpick."
"
                Banana Smoothie
            ","
                    If you’re looking for a nutritious and incredibly delicious meal on the go, then look no further! By combining the all-time favourite flavours of peanut butter and banana, this filling banana smoothie will become a family favourite in no-time.
                ","
                ,1 Large Banana,
                ,1 Cup Soy milk,
                ,1 tbsp. Peanut Butter","Cut banana into bite sizes and place in the freezer.,
,Blend banana, soy milk and peanut butter together until smooth.,
,Serve and enjoy!"
"
                Plantain Chips
            ","
                    If you’re looking for a local favourite in any country, it’s always a good idea to explore the street food sector. Plantain Chips is Nigeria’s ultimate street snack and we have an easy recipe that you can try at home for yourself. Enjoy this healthier alternative to your usual fries in a few simple steps.
                ","
                ,Unripe plantain,
Cooking oil spray,
                ,Salt,
Paprika,
                ,Onion powder","Peel plantain and slice with a sharp knife, make sure you slice as thin as possible.,
,Sprinkle some salt, paprika and onion powder then mix together.,
,Spray the chips with cooking oil spray.,
,Heat oven and insert the baking tray.,
,Once the oven is hot, add the chips one by one for even heat distribution.,
,Bake for 10 minutes, flip and bake for another 10 minutes."
"
                Apple Pie with Honey Syrup
            ","
                    If you like apple pie, you’re going to love this one and its buttery honey syrup. Using tinned apples makes the filling a breeze to prepare and the dessert is all the more tasty thanks to a yummy crust made from scratch. For a twice-as-nice slice of heaven, serve this dessert with cream or a scoop of ice cream. There’s simply nothing better.
                ","
                ,1 can (400 g) pie apples OR 3 apples, peeled, seeded, cut into wedges and cooked,
125 ml (½ cup) butter or margarine,
125 ml (½ cup) sugar,
,
                ,30 ml (2 tbsp.) water,
1 extra large egg,
250 ml (1 cup) cake flour,
5 ml (1 tsp.) baking powder,
                ,
80 ml butter or margarine,
80 ml honey","Preheat the oven to 180 °C and grease a 20 cm pie dish with butter or nonstick spray.,
,Drain the apples, reserving the syrup. Heat the butter or margarine, sugar, reserved apple syrup and water.,
,Once the sugar has dissolved, leave to cool.,
,Beat in the egg.,
,Combine the cake flour and baking powder and add to the butter mixture.,
,Mix to form a slack batter. Arrange the apple wedges in the pie dish and pour the batter on top.,
,Bake for 25-30 minutes or until the pie is golden brown and baked through.,
,Syrup: Melt the butter or margarine with the honey and pour over the pie as soon as it comes out of the oven.,
"
"
                Classic Nigerian Fried Rice
            ","
                    Whether you’re entertaining a crowd or looking for a delicious side, this classic Nigerian dish is sure to have everyone enjoying a second helping. Feel free to add extra vegetables if you’re looking to bulk up your dish.
                ","
                ,4 Large Carrots,
2 Handfuls Green Beans,
1 Large Green Pepper,
3 Bulbs Spring Onions,
1 Large Onion,
                ,1/2 Cup Peas,
1 Small Ginger,
Liver,
3 Cups Rice,
1/2 Cup Vegetable Oil,
                ,1 tsp Salt,
2 Seasoning Cubes,
1 tsp Thyme,
1 tsp Curry Powder","Parboil the rice slightly, drain and place in a pot. Add the stock/broth, add curry, thyme, seasoning, salt and blended dry pepper. This pepper is optional. Also add a small amount of water and mix the contents of the pot for the ingredients to be distributed evenly.,
,In a separate pot boil the liver for 20 minutes. Allow to cool and cut it into small cubes.,
,Chop the vegetables: carrots, green beans, green pepper and onions.,
,In a hot wok/fry pan, add 4 spoonfuls of vegetable oil.  Stir fry onion, ginger and one spring onions, add a bit of seasoning to the onions so that it tastes sweet. Add the liver and fresh peas and allow to fry for about a minute. Add the green pepper, some salt, a bit of curry, a carrot and then the green beans. Stir fry everything for 4 minutes.,
,Pour vegetable mix into a separate pot and start frying your vegetables and cooked rice in batches/portions. This way the rice doesn't stick together, the ingredients are thoroughly mixed and you fry well enough to avoid it getting sour too quickly if you're going to store it.,
,Stir fry in batches – about two serving spoons of the vegetable mixture and about 3 tablespoons of rice.,
,When a batch appears to be done, pour into a serving dish or pot and start again with the next batch.,
"
"
                Chicken Pepper Soup
            ","
                    Full of delectable, meaty flavour and packing a peppery bite, this moreish soup will have you coming back for more! Don’t hold back – add extra pepper if you’re brave! 
                ","
                ,4 tbsp Pepper Soup Mix,
3 tbsp Ground Crayfish,
2 Goat Meat Seasoning Cubes,
                ,1 tsp Salt,
1 tbsp Ground Pepper,
1kg Chicken,
                ,4 Cups of Water,
Scent Leaves / Basil","Cut chicken into bite sizes, wash and place in a pot with minimal water, season with salt, onions, pepper soup mix, seasoning cube and ground pepper. It is important for the ingredients to be infused into the chicken.,
,After 5 minutes add enough water to cover the chicken.,
,Cover the pot and allow to cook – the pepper soup should be ready in 15 minutes.  ,
,Add blended crayfish and leave for 5 minutes.,
,Add scent leaves / basil and allow to simmer for 2 minutes."
"
                Plantain Pancakes
            ","
                    This easy pancake recipe is the perfect way to use your overripe plantains, but you can also use ripe ones. Remember that the lighter you make the batter, the thinner your plantain pancakes will turn out.
                ","
                ,1 ripe plantain,
1/2 cup flour,
⅔ cup water,
,
                ,1 tsp. sugar (adjust to taste),
2 eggs,
1 chopped Habanero,
                ,1/2 onions,
2 tbsp. vegetable oil","Cut plantain, add to blender and blend until it becomes a paste.,
,Add eggs and the rest of the ingredients and blend to a batter.,
,Heat a frying pan then coat with vegetable oil.,
,Add a small amount of the batter till it forms a circle.,
,Allow to fry on each side for 2 min. and then flip."
"
                Citrus Roast Chicken
            ","
                    Not only will it look gorgeous and appetising when set on the table, but you’ll get a tangy surprise in every bite with this roast chicken recipe. For those looking for something different, try this new take on an old favourite and get ready to amaze your family and guests. This tender chicken with its herb and sweet citrus flavours is all the better when served with sides like roast potatoes, rice, creamed spinach, steamed vegetables or butternut for an all-round hearty meal.   Serves: 4.   Cooking time: 1 hour 30 minutes​.
                ","
                ,
500 ml (2 cups) orange juice ,
Grated rind of 1 lemon ,
60 ml (¼ cup) soy sauce,
 125 ml (½ cup) soft brown sugar ,
15 ml (1 tbsp.) honey ,
1 red onion, quartered,
3 cloves garlic, crushed ,
2 ml (½ tsp.) Tabasco sauce , ,
                ,15 ml (1 tbsp.) thyme and/or chopped basil ,
3 ml (generous ½ tsp.) prepared mustard  ,
1 whole chicken, trussed ,
Salt and freshly ground black pepper ,
                ,1 orange, 2 lemons, 3 limes, quartered ,
Whole garlic cloves, peeled ,
Thyme sprigs ,
Butter ,
Chicken stock or water ,
Plain yoghurt","Mix the ingredients.  ,Marinate the chicken for at least 1 hour or overnight. ,
,Preheat the oven to 200 °C. ,
,Season the chicken inside and out with salt and pepper and put it in a roasting pan, breast side up. ,
,Arrange the fruit, garlic and thyme around the chicken and pour over the marinade. Rub the chicken with butter and roast for 15 minutes.,
,Reduce the oven temperature to 160 °C and roast for another 1-1½ hours or until the chicken is juicy and done.,
,Rub the chicken with extra butter and baste it with pan juices while roasting. ,
,Transfer the chicken to a serving platter and arrange the fruit around it. ,
,Add a little chicken stock or water to the pan juices and bring the liquid to the boil. Reduce to make a fragrant sauce. ,
,Stir in a little yoghurt. ,
,Serve the chicken with the sauce and a salad."
